,Tags,Semantic Information,Definition
0,bound,NN,"noun, singular 'desk'"
1,method,NN,"noun, singular 'desk'"
2,Series,NNP,"Êproper noun, singular 'Harrison'"
3,tolist,NN,"noun, singular 'desk'"
4,of,IN,preposition/subordinating conjunction
5,Kindle,NNP,"Êproper noun, singular 'Harrison'"
6,March,NNP,"Êproper noun, singular 'Harrison'"
7,Naomi,NNP,"Êproper noun, singular 'Harrison'"
8,Safe,NNP,"Êproper noun, singular 'Harrison'"
9,Easter,NNP,"Êproper noun, singular 'Harrison'"
10,Ending,NNP,"Êproper noun, singular 'Harrison'"
11,Haunted,NNP,"Êproper noun, singular 'Harrison'"
12,Horror,NNP,"Êproper noun, singular 'Harrison'"
13,Scary,NNP,"Êproper noun, singular 'Harrison'"
14,Video,NNP,"Êproper noun, singular 'Harrison'"
15,Isle,NNP,"Êproper noun, singular 'Harrison'"
16,Movies,NNP,"Êproper noun, singular 'Harrison'"
17,Sport,NNP,"Êproper noun, singular 'Harrison'"
18,Aztec,NNP,"Êproper noun, singular 'Harrison'"
19,Top,NNP,"Êproper noun, singular 'Harrison'"
20,Tour,NNP,"Êproper noun, singular 'Harrison'"
21,Banking,NNP,"Êproper noun, singular 'Harrison'"
22,Career,NNP,"Êproper noun, singular 'Harrison'"
23,Hiring,NNP,"Êproper noun, singular 'Harrison'"
24,Phoenix,NNP,"Êproper noun, singular 'Harrison'"
25,Wild,NNP,"Êproper noun, singular 'Harrison'"
26,Bible,NNP,"Êproper noun, singular 'Harrison'"
27,Holy,NNP,"Êproper noun, singular 'Harrison'"
28,Jesus,NNP,"Êproper noun, singular 'Harrison'"
29,Av,NNP,"Êproper noun, singular 'Harrison'"
30,Aviation,NNP,"Êproper noun, singular 'Harrison'"
31,Black,NNP,"Êproper noun, singular 'Harrison'"
32,Bridge,NNP,"Êproper noun, singular 'Harrison'"
33,Harbour,NNP,"Êproper noun, singular 'Harrison'"
34,History,NNP,"Êproper noun, singular 'Harrison'"
35,Shooting,NNP,"Êproper noun, singular 'Harrison'"
36,Speak,NNP,"Êproper noun, singular 'Harrison'"
37,Splash,NNP,"Êproper noun, singular 'Harrison'"
38,Purpose,NNP,"Êproper noun, singular 'Harrison'"
39,Hop,NNP,"Êproper noun, singular 'Harrison'"
40,Update,NNP,"Êproper noun, singular 'Harrison'"
41,Down,NNP,"Êproper noun, singular 'Harrison'"
42,Calls,NNP,"Êproper noun, singular 'Harrison'"
43,Facts,NNP,"Êproper noun, singular 'Harrison'"
44,Violent,NNP,"Êproper noun, singular 'Harrison'"
45,Cat,NNP,"Êproper noun, singular 'Harrison'"
46,Leads,VBZ,"verb, sing. present, non-3d take"
47,About,IN,preposition/subordinating conjunction
48,Keys,NNP,"Êproper noun, singular 'Harrison'"
49,Tube,NNP,"Êproper noun, singular 'Harrison'"
50,Reflect,NNP,"Êproper noun, singular 'Harrison'"
51,Libraries,NNP,"Êproper noun, singular 'Harrison'"
52,Been,NNP,"Êproper noun, singular 'Harrison'"
53,Lives,VBZ,"verb, sing. present, non-3d take"
54,Place,NNP,"Êproper noun, singular 'Harrison'"
55,King,NNP,"Êproper noun, singular 'Harrison'"
56,Game,NNP,"Êproper noun, singular 'Harrison'"
57,Insurance,NNP,"Êproper noun, singular 'Harrison'"
58,Problems,NNP,"Êproper noun, singular 'Harrison'"
59,Uprising,NNP,"Êproper noun, singular 'Harrison'"
60,Theatre,NNP,"Êproper noun, singular 'Harrison'"
61,Film,NNP,"Êproper noun, singular 'Harrison'"
62,Streaming,NNP,"Êproper noun, singular 'Harrison'"
63,Battle,NNP,"Êproper noun, singular 'Harrison'"
64,Live,NNP,"Êproper noun, singular 'Harrison'"
65,Name,NNP,"Êproper noun, singular 'Harrison'"
66,tags,VBZ,"verb, sing. present, non-3d take"
67,Length,NNP,"Êproper noun, singular 'Harrison'"
68,dtype,NN,"noun, singular 'desk'"
69,object,NN,"noun, singular 'desk'"