id,created_at,hashtags,game
278,2018-04-17 06:41:32,of,Call of Duty
278,2018-04-17 06:41:32,Duty,Call of Duty
278,2018-04-17 06:41:32,Black,Call of Duty
278,2018-04-17 06:41:32,Ops,Call of Duty
278,2018-04-17 06:41:32,Logo,Call of Duty
279,2018-04-17 06:27:07,Call,Call of Duty
279,2018-04-17 06:27:07,Minecraft,Call of Duty
279,2018-04-17 06:27:07,Overwatch,Call of Duty
279,2018-04-17 06:27:07,liveme,Call of Duty
283,2018-04-16 14:00:49,PROMO,Call of Duty
283,2018-04-16 14:00:49,CALL,Call of Duty
283,2018-04-16 14:00:49,OF,Call of Duty
283,2018-04-16 14:00:49,DUTY,Call of Duty
283,2018-04-16 14:00:49,INFINITE,Call of Duty
283,2018-04-16 14:00:49,WARFARE,Call of Duty
283,2018-04-16 14:00:49,STEAM,Call of Duty
286,2018-04-15 21:14:26,Call,Call of Duty
286,2018-04-15 21:14:26,PUBG,Call of Duty
287,2018-04-15 20:20:07,Call,Call of Duty
287,2018-04-15 20:20:07,Duty,Call of Duty
289,2018-04-15 05:39:49,Call,Call of Duty
290,2018-04-15 01:09:13,CALL,Call of Duty
292,2018-04-14 16:10:06,Call,Call of Duty
292,2018-04-14 16:10:06,Duty,Call of Duty
293,2018-04-14 11:15:40,Call,Call of Duty
293,2018-04-14 11:15:40,Duty,Call of Duty
293,2018-04-14 11:15:40,jeux,Call of Duty
293,2018-04-14 11:15:40,populaire,Call of Duty
293,2018-04-14 11:15:40,enfants,Call of Duty
293,2018-04-14 11:15:40,adolescent,Call of Duty
294,2018-04-13 15:38:05,Call,Call of Duty
295,2018-04-13 14:25:24,Call,Call of Duty
297,2018-04-13 08:50:20,Call,Call of Duty
299,2018-04-13 02:23:49,Call,Call of Duty
299,2018-04-13 02:23:49,Cons,Call of Duty
300,2018-04-13 00:15:08,Call,Call of Duty
301,2018-04-12 09:59:46,incharge,Call of Duty
303,2018-04-12 04:27:01,Call,Call of Duty
303,2018-04-12 04:27:01,Esp,Call of Duty
303,2018-04-12 04:27:01,liveme,Call of Duty
304,2018-04-12 03:56:20,Call,Call of Duty
305,2018-04-12 03:12:01,Call,Call of Duty
305,2018-04-12 03:12:01,Esp,Call of Duty
305,2018-04-12 03:12:01,liveme,Call of Duty
306,2018-04-12 02:35:29,Call,Call of Duty
307,2018-04-11 19:32:50,PS4live,Call of Duty
307,2018-04-11 19:32:50,Call,Call of Duty
308,2018-04-18 00:00:44,Twitch,Divinity 2
308,2018-04-18 00:00:44,Divinity,Divinity 2
311,2018-04-17 12:00:12,Divinity,Divinity 2
315,2018-04-17 04:31:38,streaming,Divinity 2
315,2018-04-17 04:31:38,Divinity,Divinity 2
316,2018-04-17 01:51:36,Divinity,Divinity 2
324,2018-04-14 12:00:11,Divinity,Divinity 2
325,2018-04-14 03:08:14,RELIGIONS,Divinity 2
325,2018-04-14 03:08:14,Theology,Divinity 2
325,2018-04-14 03:08:14,Divinity,Divinity 2
325,2018-04-14 03:08:14,Sacred,Divinity 2
325,2018-04-14 03:08:14,Economics,Divinity 2
325,2018-04-14 03:08:14,Money,Divinity 2
325,2018-04-14 03:08:14,Debt,Divinity 2
325,2018-04-14 03:08:14,Usury,Divinity 2
326,2018-04-13 19:49:54,Deadpool,Divinity 2
328,2018-04-13 13:59:12,Shrimad,Divinity 2
328,2018-04-13 13:59:12,Bhagavat,Divinity 2
328,2018-04-13 13:59:12,Katha,Divinity 2
328,2018-04-13 13:59:12,Bhaishriji,Divinity 2
328,2018-04-13 13:59:12,HinduSpiritualleader,Divinity 2
328,2018-04-13 13:59:12,Vedanta,Divinity 2
328,2018-04-13 13:59:12,Divine,Divinity 2
328,2018-04-13 13:59:12,Divinity,Divinity 2
328,2018-04-13 13:59:12,Shree,Divinity 2
330,2018-04-12 12:00:16,Divinity,Divinity 2
332,2018-04-11 00:52:58,Ironman,Divinity 2
333,2018-04-10 14:01:41,Divinity,Divinity 2
333,2018-04-10 14:01:41,XboxOne,Divinity 2
334,2018-04-10 12:00:09,Divinity,Divinity 2
335,2018-04-09 04:22:35,RPG,Divinity 2
335,2018-04-09 04:22:35,DIVINITY,Divinity 2
335,2018-04-09 04:22:35,PlayStation4,Divinity 2
335,2018-04-09 04:22:35,XboxOne,Divinity 2
336,2018-04-09 04:15:15,streaming,Divinity 2
336,2018-04-09 04:15:15,game,Divinity 2
336,2018-04-09 04:15:15,Divinity,Divinity 2
336,2018-04-09 04:15:15,divinity,Divinity 2
337,2018-04-09 03:58:35,RPG,Divinity 2
337,2018-04-09 03:58:35,DIVINITY,Divinity 2
337,2018-04-09 03:58:35,PlayStation4,Divinity 2
337,2018-04-09 03:58:35,XboxOne,Divinity 2
338,2018-04-09 03:36:07,streaming,Divinity 2
338,2018-04-09 03:36:07,game,Divinity 2
338,2018-04-09 03:36:07,Divinity,Divinity 2
338,2018-04-09 03:36:07,divinity,Divinity 2
339,2018-04-09 03:35:59,Divinity,Divinity 2
340,2018-04-09 03:25:31,streaming,Divinity 2
340,2018-04-09 03:25:31,game,Divinity 2
340,2018-04-09 03:25:31,Divinity,Divinity 2
340,2018-04-09 03:25:31,divinity,Divinity 2
341,2018-04-09 03:18:48,streaming,Divinity 2
341,2018-04-09 03:18:48,game,Divinity 2
341,2018-04-09 03:18:48,Divinity,Divinity 2
341,2018-04-09 03:18:48,divinity,Divinity 2
342,2018-04-09 03:16:58,Divinity,Divinity 2
343,2018-04-09 02:29:58,Divinity,Divinity 2
343,2018-04-09 02:29:58,OriginalSin2,Divinity 2
344,2018-04-08 21:49:03,Repost,Divinity 2
344,2018-04-08 21:49:03,BandaiNamco,Divinity 2
344,2018-04-08 21:49:03,PS4,Divinity 2
345,2018-04-08 20:59:49,Superman,Divinity 2
345,2018-04-08 20:59:49,Divinity,Divinity 2
346,2018-04-08 15:09:25,Divinity,Divinity 2
346,2018-04-08 15:09:25,XboxOne,Divinity 2
347,2018-04-08 13:57:53,Repost,Divinity 2
347,2018-04-08 13:57:53,BandaiNamco,Divinity 2
347,2018-04-08 13:57:53,PS4,Divinity 2
348,2018-04-08 13:35:18,Repost,Divinity 2
348,2018-04-08 13:35:18,BandaiNamco,Divinity 2
348,2018-04-08 13:35:18,PS4,Divinity 2
349,2018-04-08 13:31:19,Repost,Divinity 2
349,2018-04-08 13:31:19,BandaiNamco,Divinity 2
349,2018-04-08 13:31:19,PS4,Divinity 2
350,2018-04-08 13:20:04,Repost,Divinity 2
350,2018-04-08 13:20:04,BandaiNamco,Divinity 2
351,2018-04-08 12:36:53,Divinity,Divinity 2
351,2018-04-08 12:36:53,XboxOne,Divinity 2
352,2018-04-08 02:36:03,blood,Divinity 2
353,2018-04-07 20:27:06,Divinity,Divinity 2
353,2018-04-07 20:27:06,XboxOne,Divinity 2
354,2018-04-07 13:21:00,Repost,Divinity 2
354,2018-04-07 13:21:00,BandaiNamco,Divinity 2
354,2018-04-07 13:21:00,PS4,Divinity 2
355,2018-04-07 13:20:04,Repost,Divinity 2
355,2018-04-07 13:20:04,BandaiNamco,Divinity 2
356,2018-04-07 12:00:12,Divinity,Divinity 2
357,2018-04-18 01:10:02,earthquake,Quake
357,2018-04-18 01:10:02,quake,Quake
358,2018-04-18 01:02:47,earthquake,Quake
358,2018-04-18 01:02:47,quake,Quake
359,2018-04-18 01:02:02,earthquake,Quake
359,2018-04-18 01:02:02,quake,Quake
360,2018-04-18 00:58:02,earthquake,Quake
360,2018-04-18 00:58:02,quake,Quake
361,2018-04-18 00:55:41,earthquake,Quake
361,2018-04-18 00:55:41,quake,Quake
362,2018-04-18 00:53:33,quake,Quake
363,2018-04-18 00:49:02,earthquake,Quake
363,2018-04-18 00:49:02,quake,Quake
365,2018-04-18 00:47:02,earthquake,Quake
365,2018-04-18 00:47:02,quake,Quake
366,2018-04-18 00:36:34,earthquake,Quake
366,2018-04-18 00:36:34,quake,Quake
367,2018-04-18 00:36:02,earthquake,Quake
367,2018-04-18 00:36:02,quake,Quake
368,2018-04-18 00:36:02,earthquake,Quake
368,2018-04-18 00:36:02,quake,Quake
369,2018-04-18 00:35:14,quake,Quake
370,2018-04-18 00:34:59,earthquake,Quake
370,2018-04-18 00:34:59,quake,Quake
371,2018-04-18 00:30:38,Earthquake,Quake
371,2018-04-18 00:30:38,quake,Quake
371,2018-04-18 00:30:38,earth,Quake
371,2018-04-18 00:30:38,地震,Quake
371,2018-04-18 00:30:38,WebSite,Quake
371,2018-04-18 00:30:38,Web,Quake
372,2018-04-18 00:30:15,quake,Quake
373,2018-04-18 00:29:02,earthquake,Quake
374,2018-04-18 00:26:44,quake,Quake
375,2018-04-18 00:25:15,quake,Quake
376,2018-04-18 00:25:03,earthquake,Quake
376,2018-04-18 00:25:03,quake,Quake
378,2018-04-18 00:05:16,quake,Quake
379,2018-04-18 00:05:02,earthquake,Quake
380,2018-04-17 23:47:02,earthquake,Quake
380,2018-04-17 23:47:02,quake,Quake
381,2018-04-17 23:45:33,earthquake,Quake
381,2018-04-17 23:45:33,quake,Quake
382,2018-04-17 23:42:02,earthquake,Quake
382,2018-04-17 23:42:02,quake,Quake
383,2018-04-17 23:38:01,earthquake,Quake
383,2018-04-17 23:38:01,quake,Quake
384,2018-04-17 23:35:02,earthquake,Quake
384,2018-04-17 23:35:02,quake,Quake
385,2018-04-17 23:35:02,earthquake,Quake
385,2018-04-17 23:35:02,quake,Quake
386,2018-04-17 23:33:42,quake,Quake
387,2018-04-17 23:33:29,quake,Quake
389,2018-04-17 23:29:39,quake,Quake
389,2018-04-17 23:29:39,quakechampions,Quake
389,2018-04-17 23:29:39,gamemusic,Quake
390,2018-04-17 23:23:02,earthquake,Quake
390,2018-04-17 23:23:02,quake,Quake
391,2018-04-17 23:19:01,earthquake,Quake
391,2018-04-17 23:19:01,quake,Quake
392,2018-04-17 23:18:02,earthquake,Quake
392,2018-04-17 23:18:02,quake,Quake
393,2018-04-17 23:07:09,america,Quake
393,2018-04-17 23:07:09,indie,Quake
393,2018-04-17 23:07:09,music,Quake
393,2018-04-17 23:07:09,idol,Quake
393,2018-04-17 23:07:09,the,Quake
393,2018-04-17 23:07:09,american,Quake
394,2018-04-17 23:07:02,earthquake,Quake
394,2018-04-17 23:07:02,quake,Quake
395,2018-04-17 23:00:01,america,Quake
395,2018-04-17 23:00:01,indie,Quake
395,2018-04-17 23:00:01,music,Quake
396,2018-04-17 22:58:01,earthquake,Quake
396,2018-04-17 22:58:01,quake,Quake
397,2018-04-17 22:50:00,earthquake,Quake
397,2018-04-17 22:50:00,quake,Quake
398,2018-04-17 22:46:01,earthquake,Quake
398,2018-04-17 22:46:01,quake,Quake
399,2018-04-17 22:45:16,quake,Quake
400,2018-04-17 22:45:00,america,Quake
400,2018-04-17 22:45:00,indie,Quake
400,2018-04-17 22:45:00,music,Quake
400,2018-04-17 22:45:00,idol,Quake
400,2018-04-17 22:45:00,the,Quake
401,2018-04-17 22:44:02,earthquake,Quake
401,2018-04-17 22:44:02,quake,Quake
402,2018-04-17 22:37:02,earthquake,Quake
402,2018-04-17 22:37:02,quake,Quake
403,2018-04-17 22:37:02,earthquake,Quake
403,2018-04-17 22:37:02,quake,Quake
404,2018-04-17 22:28:46,earthquake,Quake
404,2018-04-17 22:28:46,quake,Quake
405,2018-04-17 22:27:04,Quake,Quake
405,2018-04-17 22:27:04,Twitch,Quake
405,2018-04-17 22:27:04,Streamer,Quake
405,2018-04-17 22:27:04,Esports,Quake
406,2018-04-17 22:23:02,earthquake,Quake
406,2018-04-17 22:23:02,quake,Quake
407,2018-04-17 22:23:02,earthquake,Quake
407,2018-04-17 22:23:02,quake,Quake
408,2018-04-17 22:13:01,earthquake,Quake
408,2018-04-17 22:13:01,quake,Quake
409,2018-04-17 22:10:20,quake,Quake
410,2018-04-17 22:09:41,quake,Quake
411,2018-04-17 22:00:02,america,Quake
411,2018-04-17 22:00:02,indie,Quake
411,2018-04-17 22:00:02,music,Quake
411,2018-04-17 22:00:02,idol,Quake
411,2018-04-17 22:00:02,the,Quake
412,2018-04-17 21:57:27,quake,Quake
413,2018-04-17 21:48:01,earthquake,Quake
413,2018-04-17 21:48:01,quake,Quake
415,2018-04-17 21:47:07,earthquake,Quake
415,2018-04-17 21:47:07,quake,Quake
416,2018-04-17 21:45:38,TestYourKnowledge,Quake
416,2018-04-17 21:45:38,Earthquakes,Quake
416,2018-04-17 21:45:38,Measured,Quake
416,2018-04-17 21:45:38,Earthquake,Quake
417,2018-04-17 21:45:08,TestYourKnowledge,Quake
417,2018-04-17 21:45:08,Earthquakes,Quake
417,2018-04-17 21:45:08,Measured,Quake
417,2018-04-17 21:45:08,Earthquake,Quake
419,2018-04-17 21:43:02,earthquake,Quake
419,2018-04-17 21:43:02,quake,Quake
420,2018-04-17 21:37:41,quake,Quake
421,2018-04-17 21:30:39,earthquake,Quake
421,2018-04-17 21:30:39,quake,Quake
422,2018-04-17 21:30:18,quake,Quake
423,2018-04-17 21:29:22,earthquake,Quake
423,2018-04-17 21:29:22,quake,Quake
424,2018-04-17 21:29:02,earthquake,Quake
424,2018-04-17 21:29:02,quake,Quake
425,2018-04-17 21:26:02,earthquake,Quake
425,2018-04-17 21:26:02,quake,Quake
426,2018-04-17 21:22:02,earthquake,Quake
426,2018-04-17 21:22:02,quake,Quake
427,2018-04-17 21:21:02,earthquake,Quake
427,2018-04-17 21:21:02,quake,Quake
428,2018-04-17 21:19:02,earthquake,Quake
428,2018-04-17 21:19:02,quake,Quake
429,2018-04-17 21:19:02,earthquake,Quake
429,2018-04-17 21:19:02,quake,Quake
430,2018-04-17 21:17:33,earthquake,Quake
430,2018-04-17 21:17:33,quake,Quake
431,2018-04-17 21:16:06,earthquake,Quake
431,2018-04-17 21:16:06,quake,Quake
432,2018-04-17 21:11:02,earthquake,Quake
432,2018-04-17 21:11:02,quake,Quake
433,2018-04-17 21:05:02,earthquake,Quake
433,2018-04-17 21:05:02,quake,Quake
434,2018-04-17 21:04:52,earthquake,Quake
434,2018-04-17 21:04:52,quake,Quake
435,2018-04-17 21:00:02,america,Quake
435,2018-04-17 21:00:02,indie,Quake
435,2018-04-17 21:00:02,music,Quake
435,2018-04-17 21:00:02,idol,Quake
435,2018-04-17 21:00:02,the,Quake
435,2018-04-17 21:00:02,american,Quake
435,2018-04-17 21:00:02,voice,Quake
435,2018-04-17 21:00:02,got,Quake
435,2018-04-17 21:00:02,talent,Quake
435,2018-04-17 21:00:02,quake,Quake
436,2018-04-17 20:56:02,earthquake,Quake
436,2018-04-17 20:56:02,quake,Quake
437,2018-04-17 20:55:15,quake,Quake
438,2018-04-17 20:52:56,quake,Quake
440,2018-04-17 20:50:03,earthquake,Quake
440,2018-04-17 20:50:03,quake,Quake
441,2018-04-17 20:49:48,QuakeChampions,Quake
441,2018-04-17 20:49:48,PAXEast,Quake
441,2018-04-17 20:49:48,Quake,Quake
442,2018-04-17 20:48:39,earthquake,Quake
442,2018-04-17 20:48:39,quake,Quake
443,2018-04-17 20:48:02,earthquake,Quake
443,2018-04-17 20:48:02,quake,Quake
444,2018-04-17 20:44:02,earthquake,Quake
444,2018-04-17 20:44:02,quake,Quake
445,2018-04-17 20:44:02,earthquake,Quake
445,2018-04-17 20:44:02,quake,Quake
446,2018-04-17 20:44:00,earthquake,Quake
446,2018-04-17 20:44:00,quake,Quake
447,2018-04-17 20:41:02,earthquake,Quake
447,2018-04-17 20:41:02,quake,Quake
448,2018-04-17 20:40:20,quake,Quake
449,2018-04-17 20:35:02,earthquake,Quake
449,2018-04-17 20:35:02,quake,Quake
450,2018-04-17 20:35:02,earthquake,Quake
450,2018-04-17 20:35:02,quake,Quake
451,2018-04-17 20:23:39,quake,Quake