text,possibleCorrectness
hanyu,Hanny
hanyu,Hangul
hanyu,hangup
hanyu,handy
olympics,Olympics
pyeongchang,moneychangers
pyeongchang,Pyongyang
pyeongchang,shortchange
pyeongchang,interchange
goldmedal,goldmine
goldmedal,Goldman
goldmedal,goldenseal
goldmedal,goldenrod
goldmedalist,medalist
goldmedalist,medievalist
goldmedalist,feudalistic
goldmedalist,fundamentalist
sendai,Sendai
japanese,Japanese
tessavirtue,virtuousness
tessavirtue,tessellate
tessavirtue,tessellation
tessavirtue,virtuosoes
scottmoir,Scottish
scottmoir,Scottie
scottmoir,Scotty's
scottmoir,Scottsdale
skatecanada,skateboard
skatecanada,Saskatchewan
skatecanada,skater
skatecanada,Canadianism
starsonicecanada,supersonically
starsonicecanada,personification
starsonicecanada,ultrasonically
figureskating,figurativeness
figureskating,rollerskating
figureskating,figurehead
figureskating,figuration
icedance,impedance
icedance,guidance
icedance,riddance
icedance,abidance
teamcanada,teammate
teamcanada,Canadianism
teamcanada,Canada
teamcanada,teamwork
canada,Canada
followme,follower
followme,followup's
followme,follow
followme,fellowmen
soijapan,Japanese
soijapan,japanning
soijapan,japanned
soijapan,japanner
patrickchan,Patrick
patrickchan,patrician
patrickchan,patriarchal
patrickchan,patriarchate
shomauno,showman
shomauno,shogunate
shomauno,shoemake
shomauno,shotgun
javierfernandez,Fernandez
javierfernandez,Hernandez
javierfernandez,Fernande
javierfernandez,Fernandina
ericradford,Bradford
ericradford,eradicator
ericradford,eradication
ericradford,Ericsson's
starsonice,supersonic
starsonice,starstruck
starsonice,starship
starsonice,hypersonic
gabbydaleman,garbageman
gabbydaleman,gentlemanly
gabbydaleman,Beatlemania
gabbydaleman,stableman
goldmedalists,medalists
goldmedalists,medalist
goldmedalists,medievalists
goldmedalists,fundamentalists
jeffcablephotography,telephotography
jeffcablephotography,photographically
jeffcablephotography,photography
jeffcablephotography,photographer
drobo,droop
drobo,drool
drobo,drove
drobo,drown
redvelvet,velveteen
redvelvet,velvety
redvelvet,Velvet
redvelvetofficial,semiofficial
redvelvetofficial,officialdom
redvelvetofficial,officialism
redvelvetofficial,nonofficial
redvelvetirene,repetitiveness
redvelvetirene,retiredness
redvelvetirene,relativeness
redvelvetirene,Helvetian
irene,Irene
headiner,headier
headiner,headliner
showrehearsal,rehearsal
showrehearsal,rehearsed
showrehearsal,rehearser
showrehearsal,rehearse
vanlife,vandalize
vanlife,vandalism
vanlife,Vannie
vanlife,vanisher
winterolympics,wintertimes
winterolympics,wintergreens
winterolympics,winterizes
winterolympics,Olympics
southkorea,southeaster
southkorea,Southeast
southkorea,Southerner
filmphotography,telephotography
filmphotography,photography
filmphotography,photographically
filmphotography,photographic
canonf,canon
canonf,canons
filmisnotdead,filminess
shootanalog,sharpshooting
shootanalog,analogous
shootanalog,analogical
shootanalog,shootout
iso,ISO
iso,so
iso,is
iso,ipso
iso,isl
iso,ism
keepitanalog,goalkeeping
keepitanalog,analogousness
keepitanalog,peacekeeping
keepitanalog,keeping
filmphotographic,photographically
filmphotographic,photographic
filmphotographic,telephotography
filmphotographic,cinematographic
istillshootfilm,distillation
theanalogueproject,projectionist
theanalogueproject,analogue
streetphotography,telephotography
streetphotography,photography
streetphotography,photographically
streetphotography,photographer
fujifilm,Fujiyama
fujifilm,Fujitsu
fujifilm,fulfillment
fujifilm,Fuji
fuji,Fuji
superia,superior
superia,superintend
superia,superimpose
thebase,Thebault
thebase,Thebes
thebase,timebase
thebase,themas
anotherplace,another
anotherplace,hypnotherapy
anotherplace,thermoplastic
anotherplace,motherland
theanalogclub,analogousness
theanalogclub,theological
theanalogclub,analogical
theanalogclub,theatricality
submitblasfemia,submittable
submitblasfemia,submittal
submitblasfemia,submitting
submitblasfemia,submissiveness
myspc,mystic
myspc,Myst
myspc,Mysore
myspc,myself
fisheyelemag,fisherman
fisheyelemag,fishermen
fisheyelemag,fishmonger
fisheyelemag,fishery
filmforever,forevermore
filmforever,forever
filmforever,Filmore
filmforever,filmmaker
japansgoldenson,goldenseal
japanskating,rollerskating
japanskating,japanning
japanskating,passionating
japanskating,mistranslating
iceskating,rollerskating
iceskating,desolating
iceskating,hesitating
iceskating,investigating
yuzuru,Yurik
yuzuru,yurt
yuzuru,Yuri
zuzu,Zuzana
zuzu,Zulu
zuzu,Zuni
zuzu,Zukor
figureskater,figurehead
figureskater,figurativeness
figureskater,figurative
figureskater,figure's
yuzu,yuan
yuzu,Yuri
yuzu,Yuma
yuzu,Yule
olympic,Olympic
krstock,overstock
krstock,stocker
krstock,rootstock
krstock,understocked
soohorang,shortchange
soohorang,soothing
soohorang,orangeade
soohorang,orangutan
bandabi,bandage
bandabi,bandanna
bandabi,banding
bandabi,bandit
soohorangandbandabi,understandability
bonekabandabi,expandability
bonekabandabi,understandability
bonekabandabi,extendability
bonekabandabi,dependability
shomachka,stomacher
shomachka,stomachache
shomachka,stomachs
shomachka,stomach
kissandcry,glissando
kissandcry,glissandi
kissandcry,Cassandry
kissandcry,Kassandra
figureskate,figurehead
figureskate,figure's
figureskate,figurative
figureskate,figurer
olympicchampion,championship
olympicchampion,Olympic
olympicchampion,champion
olympicchampion,Olympian
olympicmedallist,Olympic
olympicmedallist,imperialistically
olympicmedallist,Olympiad
olympicmedallist,callisthenics's
shibainu,shibboleth
shibainu,shinguard
shibainu,shinbone
shibainu,shivving
shiba,sahib
shiba,Chiba
shiba,Toshiba
shiba,Shiva
shiba,Shina
shiba,Shiraz
shibamania,Bahamanian
shibamania,shamanic
shibamania,Panamanian
shibamania,Guamanian
shibalove,shibboleth
shibalove,shippable
shibalove,Archibaldo
shibalove,shipborne
shibastagram,bastardization
shibastagram,histogram
shibastagram,pentagram
shibastagram,datagram
winnithepooh,Witherspoon
winnithepooh,Winnifred
winnithepooh,Winnipeg
miyagi,mirage
miyagi,mileage
miyagi,Magill
miyagi,millage
miyagiprefacture,manufacturer
miyagiprefacture,manufacture
miyagiprefacture,putrefactive
miyagiprefacture,putrefaction
miyagicity,aromaticity
miyagicity,multiplicity
miyagicity,atomicity
miyagicity,endemicity
olympicgoldmedalist,Olympic
olympicgoldmedalist,medalist
olympicnationalpark,interdenominational
olympicnationalpark,nondenominational
olympicnationalpark,nationalistically
olympicnationalpark,internationalization
shoma,soma
shoma,Thoma
exo,ex
exo,expo
exo,ego
exo,ext
exo,exp
exol,extol
exol,ecol
exol,Exodus
exol,exotic
exol,exogamy
EF,F
EF,E
EF,REF
EF,DEF
EF,ELF
EF,EMF
EF,SF
EF,IF
EF,OF
EF,CF
EF,PF
EF,HF
EF,BF
EF,FF
EF,RF
instagram,installer
instagram,installment
instagram,installable
instagram,pentagram
instaphoto,installation
instaphoto,instantiation
instaphoto,instantaneous
instaphoto,installment
paralympics,paralytics
paralympics,paralytic
paralympics,paralysis
paralympics,paralyzing
interiordesign,interior
interiordesign,interindustry
interiordesign,interestingness
interiordesign,interconversion
ikea,ilea
ikea,idea
ikea,Ikey
ikea,Ike
ikea,alike
ikea,Aiken
virtuemoir,virtue
virtuemoir,virtuosoes
virtuemoir,virtuosity
virtuemoir,virtuousness
icedancer,impedance
icedancer,Icelander
icedancer,anticancer
icedancer,dancer
tessaandscott,tessellation
tessaandscott,Scottsdale
iceskater,skater
iceskater,cheapskate
iceskater,Leicester
iceskater,Ekaterina
axel,axle
axel,Axel
axel,axes
axel,axer
axel,axed
doubleloop,doublespeak
doubleloop,doubleton
doubleloop,doubleness
doubleloop,Doubleday
armvariations,variational
armvariations,variation
armvariations,appropriation
armvariations,vulgarizations
teamevgenia,teratogenic
teamevgenia,televangelism
teamevgenia,telegenic
teamevgenia,congeniality
queenevgenia,Queensland
queenevgenia,Queenie
queenevgenia,quinquennial
queenevgenia,quadrennial
usfigureskating,transfiguration
usfigureskating,rollerskating
usfigureskating,disfigurement
usfigureskating,transfiguring
europeanchampionships,championships
europeanchampionships,championship
europeanchampionships,Europeanizations
europeanchampionships,Europeanization
russiannationals,transnationals
russiannationals,multinationals
russiannationals,internationals
russiannationals,supranationalism
usnationals,transnationals
usnationals,multinationals
usnationals,transnational
usnationals,nationals
edea,Medea
edea,edema
edea,idea
edea,eden
edea,Edee
edea,Ede
edea,Edna
johnwilsonblades,switchblades
teammedvedeva,telegrammed
teammedvedeva,Mohammedanism
teammedvedeva,teammate
teammedvedeva,preprogrammed
figureskatingchampion,championship
isufigureskating,misconfiguration
isufigureskating,rollerskating
isufigureskating,transfiguration
isufigureskating,figurativeness
figureskatingworldchampionships,championships
figureskatingworldchampionships,championship
figureskaters,figureheads
figureskaters,figurativeness
figureskaters,figures
figureskaters,figurers
skatingprotocol,rollerskating
skatingprotocol,protocol
skatingprotocol,nonreciprocating
skatingprotocol,nondepreciating
isugrandprix,grandparent
isugrandprix,grandiloquent
isugrandprix,grandiosity
isugrandprix,grandiloquence
figureskatingrussia,figurativeness
figureskatingrussia,rollerskating
graciegold,Graciela
graciegold,Gracie
graciegold,graciousness
graciegold,gracious
ashleywagner,Ashley
ashleywagner,Ashleigh
ashleywagner,Wagnerian
ashleywagner,Ashlen
risports,disports
risports,disport
risports,transports
risports,passports
risports,sportsman
figureskatingft,figurativeness
figureskatingft,rollerskating
figureskatingft,figuration
figureskatingft,figurehead
figureft,figure's
figureft,figurer
figureft,figure
figureft,figurine
doubleaxel,doubleheader
doubleaxel,doublespeak
doubleaxel,Doubleday
doubleaxel,doubleness
simplyft,simply
simplyft,simplify
simplyft,simplicity
simplyft,simplistic
tripleflipft,triplication
tripleflipft,triplet
tripleflipft,triplicate
tripleflipft,triplex
usfsa,usage
usfsa,USAF
usfsa,usable
usfsa,usably
theskatinglesson,meaninglessness
theskatinglesson,rollerskating
theskatinglesson,thermostatting
theskatinglesson,meaningless
skateroniceft,skateboard
skateroniceft,skater
skateroniceft,stereophonic
skateroniceft,optoelectronic
quadlutzfeature,quadrature
quadlutzfeature,quadruplicate
quadlutzfeature,quadrilateral
quadlutzfeature,featureless
suho,sumo
suho,Suharto
suho,Suzhou
suho,such
suho,suborn
chen,teen
chen,sen
chen,ken
chen,Chen
chen,hen
chen,then
chen,when
chen,chin
chen,chem
chen,chef
chen,chew
baekhyun,Baedeker
baekhyun,backhanded
baekhyun,backhander
baekhyun,Hyundai
sehun,shun
xiumin,Ximian
xiumin,fuming
xiumin,illumine
xiumin,alumina
chanyeol,chancellor
chanyeol,changeover
chanyeol,changeably
chanyeol,channeler
kai,Kai
kai,Mai
luhan,Wuhan
luhan,McLuhan
luhan,Luann
luhan,Lufthansa
luhan,Luanda
kris,irks
kris,Kris
kris,risk
kris,eris
kris,iris
kris,Tris
kris,Cris
kris,Uris
kris,Gris
kris,Pris
callmebaby,callback
callmebaby,calligraphy
callmebaby,callowness
callmebaby,calligrapher
mylovers,allovers
mylovers,rollovers
mylovers,plovers
mylovers,pullovers
thebest,Thebes
thebest,Thebault
thebest,Theresa
thebest,Therese
teamusa,teamster
teamusa,teammate
teamusa,teamwork
teamusa,Seamus
usa,USA
usa,us
usa,Lusa
usa,Isa
usa,Asa
usa,use
usa,usu
fansecuador,Ecuadorean
fansecuador,Ecuadorian
fansecuador,Ecuadoran
fansecuador,Ecuador
ecuador,Ecuador
quito,Quito
quito,quit
quito,quoit
quito,quite
quito,quits
guayaquil,Guayaquil
portoviejo,portentous
portoviejo,portamento
portoviejo,portliness
portoviejo,portfolio
patinaje,patina
patinaje,patine
patinaje,palatinate
patinaje,Patin
patinajeartistico,particularistic
patinajeartistico,paternalistic
patinajeartistico,particularization
patinajeartistico,artistically
brasil,basil
latinoamerica,Americanization
latinoamerica,americanized
latinoamerica,Americanism
latinoamerica,Americanize
sudamerica,Americanism
sudamerica,americanized
sudamerica,Americana
sudamerica,Americanize
southamerica,Southampton
southamerica,southernisms
southamerica,southeastern
southamerica,southeaster
olimpics,Olimpia
olimpics,Olympics
olimpics,Olympic
olimpics,Olympias
figuireskating,rollerskating
figuireskating,figurativeness
figuireskating,firefighting
figuireskating,figuration
uschampion,championship
uschampion,champion
uschampion,champaign
uschampion,Champlain
leteveryoneshine,everyone
leteveryoneshine,fleshiness
maoasada,Masada
maoasada,Madagascan
maoasada,Madagascar
maoasada,masthead
karenchen,Karenina
karenchen,trencherman
karenchen,trenchermen
karenchen,Karena
tripleloop,triplet
tripleloop,triplex
tripleloop,triple
tripleloop,triplicate
skaterlife,afterlife
skaterlife,skater
skaterlife,skateboard
skaterlife,waterline
iceskates,cheapskates
iceskates,skates
iceskates,cheapskate
iceskates,licentiates
alinazagitova,marginalization
alinazagitova,desalination
alinazagitova,digitalization
alinazagitova,alinement's
nathanchen,Nathaniel
nathanchen,Nathanael
nathanchen,Nathanial
nathanchen,Nathanil
edeas,edemas
edeas,ideas
edeas,elodeas
edeas,edema
edeas,Tadeas
edeas,Medea
jacksonultima,Jacksonville
jacksonultima,Jacksonian
jacksonultima,Jackson
jacksonultima,penultimate
jacksons,Jacksons
slayingskateft,bricklaying
inspftme,inspective
inspftme,inspector
inspftme,inspect
inspftme,inspirit
workinprogress,progressiveness
workinprogress,progressions
workinprogress,progressivism
workinprogress,progressives
axeljump,Axel
axeljump,axeman
axeljump,jumpily
axeljump,jumpiness
roadtopyeongchang,noninterchangeable
skatingonice,rollerskating
skatingonice,consecrating
skatingonice,speedboating
skatingonice,suffocating
juniorgrandprix,juniority
juniorgrandprix,Junior
sochi,socio
sochi,social
sochi,masochist
sochi,masochism
vancouver,Vancouver
johnwilson,Johnstown
johnwilson,Wilsonian
johnwilson,Johnson
johnwilson,Johnston
sashacohen,Sashenka
sashacohen,Saskatchewan
sashacohen,sashay
sashacohen,Shackleton
yunakim,Yakima
yunakim,Yunnan
yunakim,Xenakis
yunakim,yukking
tripletoeloop,triplet
tripletoeloop,triplication
tripletoeloop,triplex
tripletoeloop,triplicate
figureskates,figures
figureskates,figureheads
figureskates,figurativeness
figureskates,figurehead
iceskate,cheapskate
iceskate,iceboat
iceskate,skater
iceskate,skateboard
isu,is
isu,usu
isu,isl
isu,ism
espansionetv,expansionist
espansionetv,expansionism
espansionetv,expansionary
espansionetv,expansion
televisione,television
televisione,televisions
tvshow,reshow
tvshow,shower
tvshow,showboat
tvshow,showman
tvprogram,programed
tvprogram,multiprogram
tvprogram,subprogram
tvprogram,programing
tvpresenter,presenter
tvpresenter,represented
tvpresenter,presented
tvpresenter,presentment
tvpresenting,representing
tvpresenting,presenting
tvpresenting,resenting
tvpresenting,presentiment
giornalista,journalistic
giornalista,journalist
giornalista,paternalist
giornalista,rationalist
intervista,interviews
intervista,interviewed
intervista,interviewee
intervista,interviewer
cappellinilanotte,rappelling
cappellinilanotte,appellation
italiantv,Italianate
italiantv,Italian
italiantv,italicize
italiantv,italicization
italiantvshow,Italianate
italiantvshow,Italian
italiantvshow,italicization
italiantvshow,valiantness
journalistlife,journalistic
journalistlife,journalist
journalistlife,journalism
journalistlife,journalizer
reporterlife,reporter's
reporterlife,reported
reporterlife,reportorial
reporterlife,afterlife
interviste,interviews
interviste,interviewed
interviste,interviewee
interviste,interviewer
coni,coin
coni,con
coni,conic
coni,icon
coni,Noni
coni,Toni
coni,Loni
coni,cone
coni,cons
coni,conn
coni,cont
coni,cony
coni,conk
studiotv,studious
studiotv,studio
studiotv,studied
studiotv,studier
tvshows,shows
tvshows,showboats
tvshows,showcase
tvshows,showoffs
kaorisakamoto,factorisable
kaorisakamoto,Okamoto
shibsibs,shibboleth
shibsibs,sahibs
shibsibs,shinbones
shibsibs,shipbuild
elenaradionova,radiotelephone
elenaradionova,nonradioactive
elenaradionova,radionuclide
elenaradionova,nontraditional
sakotomiyahara,photomicrography
sakotomiyahara,photomicrograph
michellekwan,Michelle
michellekwan,Michelangelo
michellekwan,Michell
michellekwan,Michelina
adamrippon,adaptation
adamrippon,Adamson
adamrippon,adaption
adamrippon,Nipponese
edeaskates,cheapskates
edeaskates,cheapskate
edeaskates,devastates
edeaskates,skateboards
ivivva,Ivie
ivivva,vivace
ivivva,Avivah
ivivva,Vivian
lululemon,lemonade
lululemon,ululation
lululemon,lemony
lululemon,Clemons
vincentzhou,Vincenty
vincentzhou,Vincent
vincentzhou,Vincenz
vincentzhou,incentively
maiashibutani,Mauritanian
alexshibutani,Alexandrian
alexshibutani,Alexandrina
alexshibutani,attributable
usteam,steam
bronzemedalist,medalist
bronzemedalist,environmentalist
bronzemedalist,bronzed
bronzemedalist,fundamentalist
shibutanisiblings,siblings
shibutanisiblings,swashbucklings
shibutanisiblings,sibling
coldplay,wordplay
coldplay,coldness
coldplay,coldish
coldplay,coldblooded
kingofquads,kingfishers
kingofquads,kingfisher
kingofquads,kingdoms
kingofquads,Kingstown
quadlutz,quadruplet
quadlutz,quadruply
quadlutz,quadruple
quadlutz,quadrant
nathanquad,Nathanial
nathanquad,Nathanael
nathanquad,Nathaniel
nathanquad,Nathanil
wcw,cw
wcw,wow
humpday,humpback
humpday,Humpty
humpday,Humphrey
humpday,humphs
VM,M
VM,V
VM,VIM
VM,EM
VM,AM
VM,NM
VM,RM
VM,OM
VM,CM
VM,UM
VM,GM
VM,MM
VM,PM
VM,KM
bathlife,Batholomew
bathlife,bathetic
bathlife,bathrobe
bathlife,bathwater
wintersport,Winters
wintersport,wintertime
wintersport,wintergreen
wintersport,intersperse
olympicgames,Olympics
olympicgames,Olympic
olympicgames,Olympians
olympicgames,Olympiads
blacktie,blacktop
blacktie,blackthorn
blacktie,Blackstone
blacktie,blacklist
frenchconnection,interconnection
frenchconnection,connectionless
frenchconnection,connections
frenchconnection,connection
svpedit,expedite
svpedit,expedition
svpedit,sedition
svpedit,expeditor's
shibutani,shibboleth
shibutani,Hindustani
shibutani,shipbuild
shibutani,shirttail
icedancing,instancing
icedancing,conveyancing
icedancing,entrancing
icedancing,financing
ktx,kt
chinese,Chinese
chinese,chines