Tag_ID,Tag_name
1,ELMOtivation
2,PyeongChang2018
3,Paralympics
4,JuegosParalímpicos
5,USA
6,Paraicehockey
7,Korea
8,Olympics
9,FRANCE
10,YuzuruHanyu
11,C4Paralympics
12,JeuxParalympiques
13,gold
14,Paralympiques
15,Paralympics2018
16,ski
17,skidefond
18,hockey
19,ClosingCeremony
20,TeamCanada
21,YunaKim
22,EXO
23,WeAreOne
24,EXOL
25,Olympics_EXO
26,supports
27,Bandabi
28,TeamEDF
29,fra
30,BleuParalympique
31,Pyeongchang
32,THREEPEAT
33,TeamUSA
34,HocleyLuge
35,MIKTA